reconciliation_id,transaction_id,status,matched_at,note
R000139,T000189,reconciled,2024-09-15T12:00:00+00:00,auto-matched
R000140,T000190,reconciled,2024-10-12T12:00:00+00:00,auto-matched
R000141,T000192,reconciled,2024-12-05T12:00:00+00:00,
R000142,T000193,reconciled,2023-01-27T12:00:00+00:00,auto-matched
R000143,T000194,reconciled,2023-02-18T12:00:00+00:00,auto-matched
R000144,T000195,pending,2023-03-26T12:00:00+00:00,
R000145,T000196,disputed,2023-04-07T12:00:00+00:00,auto-matched
R000146,T000197,reconciled,2023-05-15T12:00:00+00:00,auto-matched
R000147,T000198,reconciled,2023-06-08T12:00:00+00:00,
R000148,T000199,disputed,2023-07-02T12:00:00+00:00,auto-matched
R000149,T000200,pending,2023-08-01T12:00:00+00:00,auto-matched
R000150,T000201,pending,2023-09-24T12:00:00+00:00,
R000151,T000202,pending,2023-10-21T12:00:00+00:00,auto-matched
R000152,T000206,reconciled,2024-02-18T12:00:00+00:00,auto-matched
R000153,T000208,pending,2024-04-13T12:00:00+00:00,
R000154,T000209,reconciled,2024-05-08T12:00:00+00:00,auto-matched
R000155,T000211,disputed,2024-07-19T12:00:00+00:00,auto-matched
R000156,T000212,reconciled,2024-08-18T12:00:00+00:00,
R000157,T000213,reconciled,2024-09-15T12:00:00+00:00,auto-matched
R000158,T000214,reconciled,2024-10-12T12:00:00+00:00,auto-matched
R000159,T000216,disputed,2024-12-20T12:00:00+00:00,
R000160,T000217,disputed,2023-01-09T12:00:00+00:00,auto-matched
R000161,T000218,reconciled,2023-02-11T12:00:00+00:00,auto-matched
R000162,T000220,reconciled,2023-04-13T12:00:00+00:00,
R000163,T000221,disputed,2023-05-30T12:00:00+00:00,auto-matched
R000164,T000222,disputed,2023-06-23T12:00:00+00:00,auto-matched
R000165,T000223,disputed,2023-07-01T12:00:00+00:00,
R000166,T000224,pending,2023-08-20T12:00:00+00:00,auto-matched
R000167,T000225,reconciled,2023-09-13T12:00:00+00:00,auto-matched
R000168,T000226,pending,2023-10-09T12:00:00+00:00,
R000169,T000227,pending,2023-11-14T12:00:00+00:00,auto-matched
R000170,T000228,disputed,2023-12-14T12:00:00+00:00,auto-matched
R000171,T000230,disputed,2024-02-26T12:00:00+00:00,
R000172,T000233,pending,2024-05-30T12:00:00+00:00,auto-matched
R000173,T000236,pending,2024-08-06T12:00:00+00:00,auto-matched
R000174,T000237,reconciled,2024-09-20T12:00:00+00:00,
R000175,T000238,disputed,2024-10-04T12:00:00+00:00,auto-matched
R000176,T000239,pending,2024-11-14T12:00:00+00:00,auto-matched
R000177,T000241,reconciled,2023-01-23T12:00:00+00:00,
R000178,T000242,reconciled,2023-02-24T12:00:00+00:00,auto-matched
R000179,T000243,reconciled,2023-03-20T12:00:00+00:00,auto-matched
R000180,T000244,pending,2023-04-01T12:00:00+00:00,
R000181,T000245,reconciled,2023-05-06T12:00:00+00:00,auto-matched
R000182,T000246,pending,2023-06-11T12:00:00+00:00,auto-matched
R000183,T000248,reconciled,2023-08-26T12:00:00+00:00,
R000184,T000249,disputed,2023-09-05T12:00:00+00:00,auto-matched
R000185,T000250,pending,2023-10-28T12:00:00+00:00,auto-matched
R000186,T000251,reconciled,2023-11-07T12:00:00+00:00,
R000187,T000252,reconciled,2023-12-15T12:00:00+00:00,auto-matched
R000188,T000256,pending,2024-04-26T12:00:00+00:00,auto-matched
R000189,T000257,disputed,2024-05-15T12:00:00+00:00,
R000190,T000262,pending,2024-10-13T12:00:00+00:00,auto-matched
R000191,T000263,pending,2024-11-01T12:00:00+00:00,auto-matched
R000192,T000264,disputed,2024-12-02T12:00:00+00:00,
R000193,T000265,pending,2023-01-25T12:00:00+00:00,auto-matched
R000194,T000266,pending,2023-02-16T12:00:00+00:00,auto-matched
R000195,T000267,pending,2023-03-12T12:00:00+00:00,
R000196,T000268,pending,2023-04-16T12:00:00+00:00,auto-matched
R000197,T000269,pending,2023-05-26T12:00:00+00:00,auto-matched
R000198,T000270,pending,2023-06-09T12:00:00+00:00,
R000199,T000271,pending,2023-07-17T12:00:00+00:00,auto-matched
R000200,T000272,disputed,2023-08-26T12:00:00+00:00,auto-matched
R000201,T000273,pending,2023-09-12T12:00:00+00:00,
R000202,T000274,disputed,2023-10-06T12:00:00+00:00,auto-matched
R000203,T000275,disputed,2023-11-03T12:00:00+00:00,auto-matched
R000204,T000278,pending,2024-02-11T12:00:00+00:00,
R000205,T000279,reconciled,2024-03-03T12:00:00+00:00,auto-matched
R000206,T000280,disputed,2024-04-08T12:00:00+00:00,auto-matched
R000207,T000282,disputed,2024-06-03T12:00:00+00:00,
R000208,T000283,reconciled,2024-07-10T12:00:00+00:00,auto-matched
R000209,T000284,reconciled,2024-08-01T12:00:00+00:00,auto-matched
R000210,T000287,reconciled,2024-11-29T12:00:00+00:00,
R000211,T000288,disputed,2024-12-12T12:00:00+00:00,auto-matched
R000212,T000290,reconciled,2023-02-16T12:00:00+00:00,auto-matched
R000213,T000291,disputed,2023-03-07T12:00:00+00:00,
R000214,T000292,pending,2023-04-24T12:00:00+00:00,auto-matched
R000215,T000296,disputed,2023-08-21T12:00:00+00:00,auto-matched
R000216,T000297,reconciled,2023-09-13T12:00:00+00:00,
R000217,T000298,reconciled,2023-10-02T12:00:00+00:00,auto-matched
R000218,T000299,disputed,2023-11-13T12:00:00+00:00,auto-matched
R000219,T000300,disputed,2023-12-03T12:00:00+00:00,
R000220,T000301,disputed,2024-01-10T12:00:00+00:00,auto-matched
R000221,T000303,disputed,2024-03-09T12:00:00+00:00,auto-matched
R000222,T000304,pending,2024-04-02T12:00:00+00:00,
R000223,T000307,reconciled,2024-07-20T12:00:00+00:00,auto-matched
R000224,T000308,reconciled,2024-08-10T12:00:00+00:00,auto-matched
R000225,T000310,pending,2024-10-19T12:00:00+00:00,
R000226,T000311,pending,2024-11-12T12:00:00+00:00,auto-matched
R000227,T000313,disputed,2023-01-18T12:00:00+00:00,auto-matched
R000228,T000314,reconciled,2023-02-22T12:00:00+00:00,
R000229,T000316,reconciled,2023-04-07T12:00:00+00:00,auto-matched
R000230,T000317,reconciled,2023-05-14T12:00:00+00:00,auto-matched
R000231,T000318,pending,2023-06-09T12:00:00+00:00,
R000232,T000319,disputed,2023-07-29T12:00:00+00:00,auto-matched
R000233,T000321,disputed,2023-09-16T12:00:00+00:00,auto-matched
R000234,T000323,reconciled,2023-11-19T12:00:00+00:00,
R000235,T000324,pending,2023-12-12T12:00:00+00:00,auto-matched
R000236,T000327,disputed,2024-03-28T12:00:00+00:00,auto-matched
R000237,T000328,reconciled,2024-04-15T12:00:00+00:00,
R000238,T000329,reconciled,2024-05-14T12:00:00+00:00,auto-matched
R000239,T000330,reconciled,2024-06-02T12:00:00+00:00,auto-matched
R000240,T000331,pending,2024-07-31T12:00:00+00:00,
R000241,T000336,reconciled,2024-12-19T12:00:00+00:00,auto-matched
R000242,T000337,reconciled,2023-01-30T12:00:00+00:00,auto-matched
R000243,T000339,pending,2023-03-01T12:00:00+00:00,
R000244,T000340,pending,2023-04-21T12:00:00+00:00,auto-matched
R000245,T000341,disputed,2023-05-24T12:00:00+00:00,auto-matched
R000246,T000343,disputed,2023-07-02T12:00:00+00:00,
R000247,T000344,pending,2023-08-08T12:00:00+00:00,auto-matched
R000248,T000346,disputed,2023-10-23T12:00:00+00:00,auto-matched
R000249,T000347,disputed,2023-11-12T12:00:00+00:00,
R000250,T000348,reconciled,2023-12-22T12:00:00+00:00,auto-matched
R000251,T000349,disputed,2024-01-27T12:00:00+00:00,auto-matched
R000252,T000350,disputed,2024-02-22T12:00:00+00:00,
R000253,T000352,disputed,2024-04-16T12:00:00+00:00,auto-matched
R000254,T000353,disputed,2024-05-04T12:00:00+00:00,auto-matched
R000255,T000354,reconciled,2024-06-01T12:00:00+00:00,
R000256,T000355,reconciled,2024-07-27T12:00:00+00:00,auto-matched
R000257,T000356,disputed,2024-08-26T12:00:00+00:00,auto-matched
R000258,T000359,pending,2024-11-23T12:00:00+00:00,
R000259,T000360,disputed,2024-12-24T12:00:00+00:00,auto-matched
R000260,T000362,reconciled,2023-02-26T12:00:00+00:00,auto-matched
R000261,T000363,pending,2023-03-30T12:00:00+00:00,
R000262,T000364,reconciled,2023-04-14T12:00:00+00:00,auto-matched
R000263,T000367,pending,2023-07-22T12:00:00+00:00,auto-matched
R000264,T000369,pending,2023-09-13T12:00:00+00:00,
R000265,T000371,reconciled,2023-11-20T12:00:00+00:00,auto-matched
R000266,T000373,disputed,2024-01-24T12:00:00+00:00,auto-matched
R000267,T000374,reconciled,2024-02-22T12:00:00+00:00,
R000268,T000375,reconciled,2024-03-15T12:00:00+00:00,auto-matched
R000269,T000377,disputed,2024-05-25T12:00:00+00:00,auto-matched
R000270,T000378,disputed,2024-06-19T12:00:00+00:00,
R000271,T000379,disputed,2024-07-07T12:00:00+00:00,auto-matched
R000272,T000380,reconciled,2024-08-06T12:00:00+00:00,auto-matched
R000273,T000383,reconciled,2024-11-16T12:00:00+00:00,
R000274,T000384,reconciled,2024-12-13T12:00:00+00:00,auto-matched
R000275,T000385,disputed,2023-01-24T12:00:00+00:00,auto-matched
R000276,T000386,reconciled,2023-02-16T12:00:00+00:00,
R000277,T000387,reconciled,2023-03-22T12:00:00+00:00,auto-matched
R000278,T000388,reconciled,2023-04-23T12:00:00+00:00,auto-matched
R000279,T000389,disputed,2023-05-29T12:00:00+00:00,
R000280,T000390,reconciled,2023-06-08T12:00:00+00:00,auto-matched
R000281,T000391,disputed,2023-07-01T12:00:00+00:00,auto-matched
R000282,T000393,disputed,2023-09-20T12:00:00+00:00,
R000283,T000395,disputed,2023-11-15T12:00:00+00:00,auto-matched
R000284,T000396,pending,2023-12-28T12:00:00+00:00,auto-matched
R000285,T000398,pending,2024-02-20T12:00:00+00:00,
R000286,T000400,disputed,2024-04-18T12:00:00+00:00,auto-matched
R000287,T000401,disputed,2024-05-01T12:00:00+00:00,auto-matched
R000288,T000402,reconciled,2024-06-09T12:00:00+00:00,
R000289,T000407,pending,2024-11-26T12:00:00+00:00,auto-matched
R000290,T000409,reconciled,2023-01-23T12:00:00+00:00,auto-matched
R000291,T000410,disputed,2023-02-04T12:00:00+00:00,
R000292,T000412,disputed,2023-04-27T12:00:00+00:00,auto-matched
R000293,T000413,disputed,2023-05-25T12:00:00+00:00,auto-matched
R000294,T000415,pending,2023-07-15T12:00:00+00:00,
R000295,T000416,pending,2023-08-23T12:00:00+00:00,auto-matched
R000296,T000419,reconciled,2023-11-02T12:00:00+00:00,auto-matched
R000297,T000422,reconciled,2024-02-04T12:00:00+00:00,
R000298,T000423,pending,2024-03-28T12:00:00+00:00,auto-matched
R000299,T000424,pending,2024-04-26T12:00:00+00:00,auto-matched
R000300,T000425,reconciled,2024-05-18T12:00:00+00:00,
R000301,T000426,reconciled,2024-06-07T12:00:00+00:00,auto-matched
R000302,T000427,reconciled,2024-07-20T12:00:00+00:00,auto-matched
R000303,T000429,disputed,2024-09-12T12:00:00+00:00,
R000304,T000430,pending,2024-10-16T12:00:00+00:00,auto-matched
R000305,T000432,reconciled,2024-12-31T12:00:00+00:00,auto-matched
R000306,T000435,pending,2023-03-13T12:00:00+00:00,
R000307,T000437,reconciled,2023-05-24T12:00:00+00:00,auto-matched
R000308,T000438,reconciled,2023-06-04T12:00:00+00:00,auto-matched
R000309,T000439,disputed,2023-07-21T12:00:00+00:00,
R000310,T000441,reconciled,2023-09-26T12:00:00+00:00,auto-matched
R000311,T000443,disputed,2023-11-30T12:00:00+00:00,auto-matched
R000312,T000444,disputed,2023-12-20T12:00:00+00:00,
R000313,T000449,pending,2024-05-03T12:00:00+00:00,auto-matched
R000314,T000450,pending,2024-06-01T12:00:00+00:00,auto-matched
R000315,T000452,reconciled,2024-08-25T12:00:00+00:00,
R000316,T000453,reconciled,2024-09-16T12:00:00+00:00,auto-matched
R000317,T000455,pending,2024-11-23T12:00:00+00:00,auto-matched
R000318,T000456,disputed,2024-12-30T12:00:00+00:00,
R000319,T000457,reconciled,2023-01-08T12:00:00+00:00,auto-matched
R000320,T000458,pending,2023-02-18T12:00:00+00:00,auto-matched
R000321,T000460,reconciled,2023-04-25T12:00:00+00:00,
R000322,T000461,disputed,2023-05-06T12:00:00+00:00,auto-matched
R000323,T000462,pending,2023-06-22T12:00:00+00:00,auto-matched
R000324,T000466,pending,2023-10-22T12:00:00+00:00,
R000325,T000467,disputed,2023-11-23T12:00:00+00:00,auto-matched
R000326,T000468,reconciled,2023-12-29T12:00:00+00:00,auto-matched
R000327,T000470,pending,2024-02-27T12:00:00+00:00,
R000328,T000471,pending,2024-03-26T12:00:00+00:00,auto-matched
R000329,T000472,disputed,2024-04-08T12:00:00+00:00,auto-matched
R000330,T000473,pending,2024-05-29T12:00:00+00:00,
R000331,T000477,reconciled,2024-09-12T12:00:00+00:00,auto-matched
R000332,T000478,pending,2024-10-17T12:00:00+00:00,auto-matched
R000333,T000479,pending,2024-11-28T12:00:00+00:00,
R000334,T000481,pending,2023-01-07T12:00:00+00:00,auto-matched
R000335,T000482,pending,2023-02-19T12:00:00+00:00,auto-matched
R000336,T000483,pending,2023-03-30T12:00:00+00:00,
R000337,T000484,reconciled,2023-04-08T12:00:00+00:00,auto-matched
R000338,T000487,pending,2023-07-18T12:00:00+00:00,auto-matched
R000339,T000489,reconciled,2023-09-16T12:00:00+00:00,
R000340,T000490,pending,2023-10-18T12:00:00+00:00,auto-matched
R000341,T000491,disputed,2023-11-13T12:00:00+00:00,auto-matched
R000342,T000493,disputed,2024-01-22T12:00:00+00:00,
R000343,T000494,pending,2024-02-22T12:00:00+00:00,auto-matched
R000344,T000495,pending,2024-03-02T12:00:00+00:00,auto-matched
R000345,T000496,disputed,2024-04-22T12:00:00+00:00,
R000346,T000497,reconciled,2024-05-10T12:00:00+00:00,auto-matched
R000347,T000499,pending,2024-07-28T12:00:00+00:00,auto-matched
R000348,T000501,pending,2024-09-09T12:00:00+00:00,
R000349,T000502,reconciled,2024-10-17T12:00:00+00:00,auto-matched
R000350,T000503,pending,2024-11-28T12:00:00+00:00,auto-matched
R000351,T000505,reconciled,2023-01-23T12:00:00+00:00,
R000352,T000507,disputed,2023-03-02T12:00:00+00:00,auto-matched
R000353,T000508,disputed,2023-04-10T12:00:00+00:00,auto-matched
R000354,T000509,disputed,2023-05-24T12:00:00+00:00,
R000355,T000512,pending,2023-08-26T12:00:00+00:00,auto-matched
R000356,T000513,pending,2023-09-03T12:00:00+00:00,auto-matched
R000357,T000514,reconciled,2023-10-07T12:00:00+00:00,
R000358,T000516,reconciled,2023-12-15T12:00:00+00:00,auto-matched
R000359,T000517,reconciled,2024-01-14T12:00:00+00:00,auto-matched
R000360,T000518,disputed,2024-02-27T12:00:00+00:00,
R000361,T000519,pending,2024-03-15T12:00:00+00:00,auto-matched
R000362,T000521,pending,2024-05-16T12:00:00+00:00,auto-matched
R000363,T000522,disputed,2024-06-06T12:00:00+00:00,
R000364,T000524,reconciled,2024-08-15T12:00:00+00:00,auto-matched
R000365,T000526,reconciled,2024-10-01T12:00:00+00:00,auto-matched
R000366,T000527,reconciled,2024-11-27T12:00:00+00:00,
R000367,T000528,disputed,2024-12-08T12:00:00+00:00,auto-matched
R000368,T000529,reconciled,2023-01-26T12:00:00+00:00,auto-matched
R000369,T000530,reconciled,2023-02-07T12:00:00+00:00,
R000370,T000531,pending,2023-03-15T12:00:00+00:00,auto-matched
R000371,T000532,reconciled,2023-04-06T12:00:00+00:00,auto-matched
R000372,T000534,pending,2023-06-21T12:00:00+00:00,
R000373,T000537,reconciled,2023-09-23T12:00:00+00:00,auto-matched
R000374,T000539,disputed,2023-11-04T12:00:00+00:00,auto-matched
R000375,T000540,reconciled,2023-12-28T12:00:00+00:00,
R000376,T000541,disputed,2024-01-21T12:00:00+00:00,auto-matched
R000377,T000542,reconciled,2024-02-26T12:00:00+00:00,auto-matched
R000378,T000544,reconciled,2024-04-07T12:00:00+00:00,
R000379,T000546,pending,2024-06-23T12:00:00+00:00,auto-matched
R000380,T000547,reconciled,2024-07-14T12:00:00+00:00,auto-matched
R000381,T000548,disputed,2024-08-31T12:00:00+00:00,
R000382,T000551,reconciled,2024-11-30T12:00:00+00:00,auto-matched
R000383,T000552,disputed,2024-12-05T12:00:00+00:00,auto-matched
R000384,T000555,pending,2023-03-29T12:00:00+00:00,
R000385,T000558,pending,2023-06-09T12:00:00+00:00,auto-matched
R000386,T000559,pending,2023-07-09T12:00:00+00:00,auto-matched
R000387,T000561,disputed,2023-09-01T12:00:00+00:00,
R000388,T000562,disputed,2023-10-08T12:00:00+00:00,auto-matched
R000389,T000563,disputed,2023-11-10T12:00:00+00:00,auto-matched
R000390,T000565,pending,2024-01-05T12:00:00+00:00,
R000391,T000566,pending,2024-02-12T12:00:00+00:00,auto-matched
R000392,T000568,reconciled,2024-04-07T12:00:00+00:00,auto-matched
R000393,T000571,pending,2024-07-07T12:00:00+00:00,
R000394,T000572,disputed,2024-08-10T12:00:00+00:00,auto-matched
R000395,T000574,pending,2024-10-26T12:00:00+00:00,auto-matched
R000396,T000575,disputed,2024-11-19T12:00:00+00:00,
R000397,T000576,reconciled,2024-12-29T12:00:00+00:00,auto-matched
R000398,T000577,reconciled,2023-01-29T12:00:00+00:00,auto-matched
R000399,T000578,pending,2023-02-20T12:00:00+00:00,
R000400,T000579,pending,2023-03-19T12:00:00+00:00,auto-matched
R000401,T000581,pending,2023-05-02T12:00:00+00:00,auto-matched
R000402,T000582,pending,2023-06-17T12:00:00+00:00,
R000403,T000583,pending,2023-07-05T12:00:00+00:00,auto-matched
R000404,T000584,disputed,2023-08-27T12:00:00+00:00,auto-matched
R000405,T000585,reconciled,2023-09-28T12:00:00+00:00,
R000406,T000586,reconciled,2023-10-16T12:00:00+00:00,auto-matched
R000407,T000587,reconciled,2023-11-09T12:00:00+00:00,auto-matched
R000408,T000588,reconciled,2023-12-19T12:00:00+00:00,
R000409,T000589,disputed,2024-01-27T12:00:00+00:00,auto-matched
R000410,T000590,reconciled,2024-02-28T12:00:00+00:00,auto-matched
R000411,T000591,pending,2024-03-26T12:00:00+00:00,
R000412,T000592,pending,2024-04-26T12:00:00+00:00,auto-matched
R000413,T000596,reconciled,2024-08-23T12:00:00+00:00,auto-matched
R000414,T000597,pending,2024-09-22T12:00:00+00:00,
R000415,T000598,pending,2024-10-03T12:00:00+00:00,auto-matched
R000416,T000599,pending,2024-11-20T12:00:00+00:00,auto-matched
R000417,T000601,reconciled,2023-01-12T12:00:00+00:00,
R000418,T000602,pending,2023-02-01T12:00:00+00:00,auto-matched
